Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,1,3752272,3637375,3792111,3673007,1
1,1,0,3578638,3637375,3792111,3676396,1
2,2,0,3578638,3675728,3616944,3676396,1
3,3,0,3135652,3675728,3616944,3714964,1
4,4,0,3135652,3681619,3169659,3714964,1
5,5,0,3242693,3681619,3169659,3720880,1
6,6,0,3242693,3528066,3277761,3720880,1
7,7,0,3704542,3528066,3277761,3565738,1
8,8,0,3704542,3427313,3744108,3565738,1
9,9,0,3600687,3427313,3744108,3464118,1
10,10,0,3600687,3415381,3639379,3464118,1
11,11,0,3671880,3415381,3639379,3452118,1
12,12,0,3671880,3420893,3711161,3452118,1
13,13,0,3609160,3420893,3711161,3457726,1
14,14,0,3609160,3554950,3647754,3457726,1
15,15,0,3640014,3554950,3647754,3593102,1
16,16,0,3640014,3646567,3678923,3593102,1
17,17,0,3560654,3646567,3678923,3685600,1
18,18,0,3560654,3630435,3598982,3685600,1
19,19,0,3622382,3630435,3598982,3669304,1
20,20,0,3622382,3620427,3660970,3669304,1
21,21,0,3525437,3620427,3660970,3659205,1
22,22,0,3525437,3608052,3563159,3659205,1
23,23,0,3636269,3608052,3563159,3646657,1
24,24,0,3636269,3587121,3675195,3646657,1
25,25,0,3530227,3587121,3675195,3625508,1
26,26,0,3530227,3586185,3568101,3625508,1
27,27,0,3433173,3586185,3568101,3624576,1
28,28,0,3433173,3578578,3470107,3624576,1
29,29,0,3564847,3578578,3470107,3616856,1
30,30,0,3564847,3531276,3602925,3616856,1
31,31,0,3582977,3531276,3602925,3569140,1
32,32,0,3582977,3541129,3621439,3569140,1
33,33,0,3532737,3541129,3621439,3579082,1
34,34,0,3532737,3527806,3570845,3579082,1
35,35,0,3558945,3527806,3570845,3565643,1
36,36,0,3558945,3528433,3597173,3565643,1
37,37,0,3599476,3528433,3597173,3566329,1
38,38,0,3599476,3559876,3637942,3566329,1
39,39,0,3834284,3559876,3637942,3598095,1
40,40,0,3834284,3568533,3874857,3598095,1
41,41,0,3135487,3568533,3874857,3606849,1
42,42,0,3135487,3631360,3169867,3606849,1
43,43,0,3597161,3631360,3169867,3670204,1
44,44,0,3597161,3532048,3635158,3670204,1
45,45,0,2966744,3532048,3635158,3569959,1
46,46,0,2966744,3541602,3000063,3569959,1
47,47,0,4279574,3541602,3000063,3579456,1
48,48,0,4279574,3383419,4323367,3579456,1
