Sample in Buffer,Sample in Window,TRIGGER,l_data_rx[23:0],r_data_rx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX
0,0,0,2823428,3615779,1
1,1,0,2823428,2850786,1
2,2,0,2010925,2850786,1
3,3,0,2010925,2030157,1
4,4,0,1165308,2030157,1
5,5,0,1165308,1176590,1
6,6,0,276378,1176590,1
7,7,0,276378,279447,1
8,8,0,-594220,279447,1
9,9,0,-594220,-599064,1
10,10,0,-1479082,-599064,1
11,11,0,-1479082,-1492668,1
12,12,0,-2314015,-1492668,1
13,13,0,-2314015,-2335898,1
14,14,0,-3107206,-2335898,1
15,15,0,-3107206,-3136372,1
16,16,0,-3843916,-3136372,1
17,17,0,-3843916,-3880346,1
18,18,0,-4499452,-3880346,1
19,19,0,-4499452,-4542045,1
20,20,0,-5064302,-4542045,1
21,21,0,-5064302,-5112271,1
22,22,0,-5518024,-5112271,1
23,23,0,-5518024,-5569857,1
24,24,0,-5870627,-5569857,1
25,25,0,-5870627,-5925754,1
26,26,0,-6101282,-5925754,1
27,27,0,-6101282,-6159254,1
28,28,0,-6207445,-6159254,1
29,29,0,-6207445,-6265956,1
30,30,0,-6181000,-6265956,1
31,31,0,-6181000,-6239701,1
32,32,0,-6039852,-6239701,1
33,33,0,-6039852,-6097386,1
34,34,0,-5772570,-6097386,1
35,35,0,-5772570,-5827349,1
36,36,0,-5389636,-5827349,1
37,37,0,-5389636,-5440707,1
38,38,0,-4896364,-5440707,1
39,39,0,-4896364,-4943197,1
40,40,0,-4304201,-4943197,1
41,41,0,-4304201,-4344950,1
42,42,0,-3620706,-4344950,1
43,43,0,-3620706,-3654786,1
44,44,0,-2872117,-3654786,1
45,45,0,-2872117,-2899789,1
46,46,0,-2048009,-2899789,1
47,47,0,-2048009,-2067550,1
48,48,0,-1201795,-2067550,1
49,49,0,-1201795,-1213040,1
50,50,0,-323446,-1213040,1
51,51,0,-323446,-327104,1
52,52,0,559557,-327104,1
53,53,0,559557,564692,1
54,54,0,1433572,564692,1
55,55,0,1433572,1447099,1
56,56,0,2278422,1447099,1
57,57,0,2278422,2299819,1
58,58,0,3073113,2299819,1
59,59,0,3073113,3101641,1
60,60,0,3807245,3101641,1
61,61,0,3807245,3842733,1
62,62,0,4465770,3842733,1
63,63,0,4465770,4507970,1
64,64,0,5036100,4507970,1
65,65,0,5036100,5082887,1
66,66,0,5499066,5082887,1
67,67,0,5499066,5550362,1
68,68,0,5852260,5550362,1
69,69,0,5852260,5907291,1
70,70,0,6087796,5907291,1
71,71,0,6087796,6144954,1
72,72,0,6208562,6144954,1
73,73,0,6208562,6267337,1
74,74,0,6183180,6267337,1
75,75,0,6183180,6241864,1
76,76,0,6051080,6241864,1
77,77,0,6051080,6107963,1
78,78,0,5789615,6107963,1
79,79,0,5789615,5844219,1
80,80,0,5404697,5844219,1
81,81,0,5404697,5455605,1
82,82,0,4922889,5455605,1
83,83,0,4922889,4969309,1
84,84,0,4328368,4969309,1
85,85,0,4328368,4369577,1
86,86,0,3660579,4369577,1
87,87,0,3660579,3695237,1
88,88,0,2903147,3695237,1
89,89,0,2903147,2930841,1
90,90,0,2082831,2930841,1
91,91,0,2082831,2102893,1
92,92,0,1233059,2102893,1
93,93,0,1233059,1245255,1
94,94,0,355680,1245255,1
95,95,0,355680,359275,1
96,96,0,-516637,359275,1
97,97,0,-516637,-521212,1
98,98,0,-1387950,-521212,1
99,99,0,-1387950,-1400640,1
100,100,0,-2234307,-1400640,1
101,101,0,-2234307,-2255184,1
102,102,0,-3037060,-2255184,1
103,103,0,-3037060,-3065890,1
104,104,0,-3779288,-3065890,1
105,105,0,-3779288,-3815202,1
106,106,0,-4439394,-3815202,1
107,107,0,-4439394,-4481229,1
108,108,0,-5010378,-4481229,1
109,109,0,-5010378,-5057996,1
110,110,0,-5483155,-5057996,1
111,111,0,-5483155,-5534777,1
112,112,0,-5841862,-5534777,1
113,113,0,-5841862,-5897005,1
114,114,0,-6083275,-5897005,1
115,115,0,-6083275,-6140498,1
116,116,0,-6201759,-6140498,1
117,117,0,-6201759,-6260322,1
118,118,0,-6195522,-6260322,1
119,119,0,-6195522,-6254481,1
120,120,0,-6056481,-6254481,1
121,121,0,-6056481,-6113491,1
122,122,0,-5806409,-6113491,1
123,123,0,-5806409,-5861552,1
124,124,0,-5426401,-5861552,1
125,125,0,-5426401,-5478082,1
126,126,0,-4951679,-5478082,1
127,127,0,-4951679,-4998786,1
128,128,0,-4360255,-4998786,1
129,129,0,-4360255,-4401852,1
130,130,0,-3688338,-4401852,1
131,131,0,-3688338,-3723818,1
132,132,0,-2943608,-3723818,1
133,133,0,-2943608,-2971521,1
134,134,0,-2138997,-2971521,1
135,135,0,-2138997,-2159499,1
136,136,0,-1287689,-2159499,1
137,137,0,-1287689,-1300260,1
138,138,0,-411732,-1300260,1
139,139,0,-411732,-416058,1
140,140,0,475965,-416058,1
141,141,0,475965,480195,1
142,142,0,1347618,480195,1
143,143,0,1347618,1359998,1
144,144,0,2197970,1359998,1
145,145,0,2197970,2218840,1
146,146,0,2996132,2218840,1
147,147,0,2996132,3024191,1
148,148,0,3742343,3024191,1
149,149,0,3742343,3777279,1
150,150,0,4403966,3777279,1
151,151,0,4403966,4445613,1
152,152,0,4985262,4445613,1
153,153,0,4985262,5031785,1
154,154,0,5461306,5031785,1
155,155,0,5461306,5512779,1
156,156,0,5825114,5512779,1
